NAME,NAMELSAD,GEOID
Alamance,Alamance County,37001
Alexander,Alexander County,37003
Alleghany,Alleghany County,37005
Anson,Anson County,37007
Ashe,Ashe County,37009
Avery,Avery County,37011
Beaufort,Beaufort County,37013
Bertie,Bertie County,37015
Bladen,Bladen County,37017
Brunswick,Brunswick County,37019
Buncombe,Buncombe County,37021
Burke,Burke County,37023
Cabarrus,Cabarrus County,37025
Caldwell,Caldwell County,37027
Camden,Camden County,37029
Carteret,Carteret County,37031
Caswell,Caswell County,37033
Catawba,Catawba County,37035
Chatham,Chatham County,37037
Cherokee,Cherokee County,37039
Chowan,Chowan County,37041
Clay,Clay County,37043
Cleveland,Cleveland County,37045
Columbus,Columbus County,37047
Craven,Craven County,37049
Cumberland,Cumberland County,37051
Currituck,Currituck County,37053
Dare,Dare County,37055
Davidson,Davidson County,37057
Davie,Davie County,37059
Duplin,Duplin County,37061
Durham,Durham County,37063
Edgecombe,Edgecombe County,37065
Forsyth,Forsyth County,37067
Franklin,Franklin County,37069
Gaston,Gaston County,37071
Gates,Gates County,37073
Graham,Graham County,37075
Granville,Granville County,37077
Greene,Greene County,37079
Guilford,Guilford County,37081
Halifax,Halifax County,37083
Harnett,Harnett County,37085
Haywood,Haywood County,37087
Henderson,Henderson County,37089
Hertford,Hertford County,37091
Hoke,Hoke County,37093
Hyde,Hyde County,37095
Iredell,Iredell County,37097
Jackson,Jackson County,37099
Johnston,Johnston County,37101
Jones,Jones County,37103
Lee,Lee County,37105
Lenoir,Lenoir County,37107
Lincoln,Lincoln County,37109
Macon,Macon County,37113
Madison,Madison County,37115
Martin,Martin County,37117
McDowell,McDowell County,37111
Mecklenburg,Mecklenburg County,37119
Mitchell,Mitchell County,37121
Montgomery,Montgomery County,37123
Moore,Moore County,37125
Nash,Nash County,37127
New Hanover,New Hanover County,37129
Northampton,Northampton County,37131
Onslow,Onslow County,37133
Orange,Orange County,37135
Pamlico,Pamlico County,37137
Pasquotank,Pasquotank County,37139
Pender,Pender County,37141
Perquimans,Perquimans County,37143
Person,Person County,37145
Pitt,Pitt County,37147
Polk,Polk County,37149
Randolph,Randolph County,37151
Richmond,Richmond County,37153
Robeson,Robeson County,37155
Rockingham,Rockingham County,37157
Rowan,Rowan County,37159
Rutherford,Rutherford County,37161
Sampson,Sampson County,37163
Scotland,Scotland County,37165
Stanly,Stanly County,37167
Stokes,Stokes County,37169
Surry,Surry County,37171
Swain,Swain County,37173
Transylvania,Transylvania County,37175
Tyrrell,Tyrrell County,37177
Union,Union County,37179
Vance,Vance County,37181
Wake,Wake County,37183
Warren,Warren County,37185
Washington,Washington County,37187
Watauga,Watauga County,37189
Wayne,Wayne County,37191
Wilkes,Wilkes County,37193
Wilson,Wilson County,37195
Yadkin,Yadkin County,37197
Yancey,Yancey County,37199
